Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
nicest limo,2,2,30,47,2.38,https://www.primelimo.com/,0,0,0.00,0.28,49800000,"18, 18, 45, 45, 18, 18, 27, 100, 27, 18, 18, 18",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,AI overview
nicest limo,10,10,30,47,2.38,https://www.primelimo.com/,0,0,0.00,0.28,49800000,"18, 18, 45, 45, 18, 18, 27, 100, 27, 18, 18, 18",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic
limo and bus service,39,39,40,60,2.58,https://www.primelimo.com/,0,0,0.00,0.56,7430000,"26, 19, 11, 7, 34, 7, 7, 15, 11, 15, 19, 15",2026-04-27,"Local pack, Video, Image, Related searches",commercial,Organic
10 person limo rental near me,30,30,30,24,2.16,https://www.primelimo.com/,0,0,0.00,0.99,3320000,"18, 18, 18, 18, 18, 45, 45, 18, 18, 18, 18, 18",2026-05-27,"Local pack, Video, People also ask, Related searches",transactional,Organic
dodge charger limo,65,65,140,1,6.90,https://www.primelimo.com/,0,0,0.00,0.81,173,"18, 23, 28, 23, 28, 11, 23, 35, 23, 23, 23, 23",2026-04-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
limo site,23,23,50,67,2.14,https://www.primelimo.com/,0,0,0.00,0.33,22200000,"41, 41, 17, 29, 41, 41, 29, 52, 29, 29, 11, 11",2026-04-10,"Video, Image, Related searches",commercial,Organic
suv limo service near me,84,84,40,53,1.95,https://www.primelimo.com/,0,0,0.00,0.81,4150000,"64, 64, 17, 11, 11, 11, 11, 11, 11, 11, 11, 11",2026-05-05,"Local pack, Sitelinks, Related searches",transactional,Organic
austin limo service,18,18,210,54,3.00,https://www.primelimo.com/,0,0,0.00,0.61,2190000,"45, 16, 16, 20, 16, 3, 8, 10, 13, 36, 5, 13",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
austin limo service,22,22,210,54,3.00,https://www.primelimo.com/,0,0,0.00,0.61,2190000,"45, 16, 16, 20, 16, 3, 8, 10, 13, 36, 5, 13",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
limo transportation service,12,12,50,69,2.78,https://www.primelimo.com/,0,0,0.00,0.55,156,"29, 23, 17, 11, 64, 17, 23, 23, 23, 29, 64, 41",2026-05-26,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
limo service in plano,12,12,70,12,2.54,https://www.primelimo.com/,0,0,0.00,0.49,364000,"45, 45, 27, 63, 63, 100, 63, 45, 63, 45, 45, 45",2026-04-26,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
limo service in plano,35,35,70,12,2.54,https://www.primelimo.com/,0,0,0.00,0.49,364000,"45, 45, 27, 63, 63, 100, 63, 45, 63, 45, 45, 45",2026-04-26,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
new braunfels tx limo service,81,81,40,10,2.17,https://www.primelimo.com/,0,0,0.00,0.8,116000,"35, 50, 21, 50, 35, 28, 35, 14, 14, 14, 14, 14",2026-04-28,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
premiere limousine,60,60,50,39,1.38,https://www.primelimo.com/,0,0,0.00,0.22,9010000,"0, 23, 29, 23, 0, 29, 82, 41, 52, 52, 41, 23",2026-05-04,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
limo rentals el paso tx,59,59,30,23,0.54,https://www.primelimo.com/,0,0,0.00,0.19,108,"71, 0, 0, 100, 0, 57, 57, 71, 57, 57, 42, 42",2026-05-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
car movers dallas,93,93,70,15,0.00,https://www.primelimo.com/,0,0,0.00,0.33,317000000,"18, 18, 18, 45, 100, 100, 81, 81, 100, 45, 63, 45",2026-04-17,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
limo service plano,20,20,90,9,2.54,https://www.primelimo.com/,0,0,0.00,0.49,392000,"19, 23, 52, 52, 42, 42, 66, 66, 52, 33, 33, 42",2026-04-13,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
limousine service el paso tx,45,45,90,28,0.46,https://www.primelimo.com/,0,0,0.00,0.27,108,"66, 33, 100, 66, 33, 42, 33, 33, 42, 42, 33, 33",2026-05-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
fort worth limousine rental,13,13,170,45,1.86,https://www.primelimo.com/,0,0,0.00,0.64,115,"0, 0, 0, 0, 0, 45, 100, 3, 0, 0, 1, 3",2026-04-08,"Local pack, Video, Image, Related searches",commercial,Organic
limousine vehicle,47,47,70,36,1.52,https://www.primelimo.com/,0,0,0.00,0.4,47900000,"63, 63, 63, 63, 45, 81, 63, 81, 45, 81, 63, 63",2026-04-07,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos",informational,Organic
limo dallas fort worth,1,1,110,55,3.40,https://www.primelimo.com/,0,0,0.00,0.6,1350000,"34, 34, 21, 65, 34, 28, 21, 28, 28, 34, 28, 34",2026-04-10,"Local pack, Sitelinks, Image, Related searches, AI overview",informational,AI overview
limo luxury service,22,22,170,59,1.60,https://www.primelimo.com/,0,0,0.00,0.23,152,"23, 15, 44, 11, 28, 15, 18, 28, 100, 28, 15, 28",2026-05-28,"Local pack, Video, Related searches",commercial,Organic
bus limo rental near me,93,93,40,50,2.19,https://www.primelimo.com/,0,0,0.00,0.78,4070000,"14, 14, 78, 78, 14, 14, 14, 14, 14, 14, 14, 14",2026-05-03,"Local pack, Video, Image, People also ask, Related searches",transactional,Organic
ajl car service,38,38,40,31,2.83,https://www.primelimo.com/,0,0,0.00,0.44,691000,"11, 11, 11, 41, 41, 100, 11, 11, 11, 11, 11, 11",2026-05-07,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
premium limousine,26,26,30,25,2.03,https://www.primelimo.com/,0,0,0.00,0.32,60200000,"14, 14, 21, 14, 28, 28, 21, 21, 14, 14, 14, 14",2026-05-04,"Local pack, Image pack, Video, Image, People also ask, Related searches",commercial,Organic
book a limo,22,22,720,59,2.34,https://www.primelimo.com/,0,0,0.00,0.62,31100000,"88, 48, 72, 72, 48, 88, 72, 59, 72, 72, 72, 48",2026-05-08,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
seat limousine,12,12,50,23,0.00,https://www.primelimo.com/,0,0,0.00,0.14,205,"18, 9, 0, 0, 0, 100, 100, 81, 18, 63, 81, 100",2026-05-19,"Image pack, Video, People also ask, Related searches",informational,Organic
seat limousine,21,21,50,23,0.00,https://www.primelimo.com/,0,0,0.00,0.14,205,"18, 9, 0, 0, 0, 100, 100, 81, 18, 63, 81, 100",2026-05-19,"Image pack, Video, People also ask, Related searches",informational,Organic
limo ford,24,24,70,3,0.00,https://www.primelimo.com/,0,0,0.00,0.1,115,"0, 100, 34, 42, 7, 7, 7, 7, 7, 7, 42, 80",2026-05-30,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
limo truck rental,20,20,70,59,1.44,https://www.primelimo.com/,0,0,0.00,0.39,2910000,"28, 21, 15, 15, 21, 6, 53, 28, 15, 12, 15, 12",2026-04-26,"Local pack, Video, People also ask, Related searches",commercial,Organic
limo lubbock tx,48,48,70,6,0.58,https://www.primelimo.com/,0,0,0.00,0.1,107,"4, 2, 4, 8, 4, 2, 2, 2, 2, 3, 5, 4",2026-05-25,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
limo service austin tx,20,20,320,49,3.00,https://www.primelimo.com/,0,0,0.00,0.61,110,"25, 11, 37, 8, 20, 8, 16, 20, 5, 13, 20, 4",2026-05-22,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
event transportation dallas,13,13,50,4,0.00,https://www.primelimo.com/,0,0,0.00,0,123000000,"100, 52, 11, 0, 11, 0, 100, 11, 0, 11, 11, 11",2026-04-08,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
book a limousine,26,26,260,76,2.34,https://www.primelimo.com/,0,0,0.00,0.62,62700000,"54, 15, 9, 66, 81, 29, 19, 19, 66, 81, 9, 15",2026-04-21,"Local pack, Image, Ads bottom, People also ask, Related searches",commercial,Organic
texas limousine services,7,7,30,40,1.80,https://www.primelimo.com/,0,0,0.00,0.62,115,"18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18",2026-05-26,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
event transportation services,31,31,320,54,3.89,https://www.primelimo.com/,0,0,0.00,0.41,446000000,"23, 29, 29, 23, 36, 15, 54, 81, 81, 100, 44, 44",2026-04-27,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
limousine auto,40,40,1000,32,2.07,https://www.primelimo.com/,0,0,0.00,0.32,129000000,"24, 0, 29, 3, 5, 10, 0, 5, 53, 100, 0, 3",2026-04-22,"Image pack, Video, Image, Video Carousel, Related searches, AI overview","commercial, informational",Organic
limo parking,39,39,50,17,0.00,https://www.primelimo.com/,0,0,0.00,0.04,10700000,"9, 9, 9, 9, 52, 9, 52, 52, 9, 9, 9, 66",2026-04-29,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
car limo service,37,37,140,46,2.51,https://www.primelimo.com/,0,0,0.00,0.62,158,"3, 3, 7, 4, 4, 4, 11, 11, 100, 7, 7, 4",2026-04-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
car services from dfw,7,7,70,35,0.00,https://www.primelimo.com/,0,0,0.00,0,55300000,"0, 0, 100, 0, 0, 0, 0, 1, 0, 0, 0, 0",2026-05-11,"Local pack, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
order a limo,38,38,50,63,2.13,https://www.primelimo.com/,0,0,0.00,0.79,31600000,"14, 78, 78, 14, 14, 14, 35, 64, 14, 14, 14, 14",2026-04-10,"Sitelinks, Video, Related searches",informational,Organic
order a limo,84,84,50,63,2.13,https://www.primelimo.com/,0,0,0.00,0.79,31600000,"14, 78, 78, 14, 14, 14, 35, 64, 14, 14, 14, 14",2026-04-10,"Sitelinks, Video, Related searches",informational,Organic
limo in austin,44,44,70,46,3.27,https://www.primelimo.com/,0,0,0.00,0.57,5160000,"14, 64, 50, 100, 35, 50, 64, 50, 50, 35, 64, 78",2026-05-05,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
today limo,39,39,30,31,2.75,https://www.primelimo.com/,0,0,0.00,0.17,112,"18, 18, 45, 36, 18, 9, 18, 63, 18, 18, 18, 18",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
jbl limo,64,64,90,24,2.54,https://www.primelimo.com/,0,0,0.00,0.08,207000,"18, 18, 22, 22, 14, 18, 14, 18, 18, 18, 18, 18",2026-05-05,"Image pack, Video, People also ask, Related searches",informational,Organic
limo services in walnut creek,72,72,40,0,4.91,https://www.primelimo.com/,0,0,0.00,0.99,116,"18, 100, 18, 100, 18, 18, 18, 18, 100, 18, 18, 18",2026-05-19,"Local pack, People also ask, Related searches",commercial,Organic
car service arlington tx,16,16,210,8,4.04,https://www.primelimo.com/,0,0,0.00,0.87,38600000,"5, 4, 5, 5, 5, 4, 100, 8, 6, 10, 13, 8",2026-04-30,"Local pack, Video, People also ask, Related searches",commercial,Organic
heaven on wheels limousines,24,24,90,39,1.22,https://www.primelimo.com/,0,0,0.00,0.38,130,"78, 64, 78, 100, 50, 50, 50, 50, 64, 78, 50, 50",2026-05-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
limousine and car service,16,16,260,57,2.51,https://www.primelimo.com/,0,0,0.00,0.62,58200000,"39, 26, 26, 14, 26, 21, 9, 14, 100, 17, 9, 5",2026-05-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
car livery service,6,6,70,53,2.64,https://www.primelimo.com/,0,0,0.00,0.31,143,"10, 5, 3, 10, 12, 10, 10, 10, 7, 5, 5, 4",2026-05-22,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
a limo service,72,72,90,72,1.38,https://www.primelimo.com/,0,0,0.00,0.17,24500000,"50, 50, 100, 78, 50, 64, 64, 78, 50, 50, 50, 50",2026-04-16,"Knowledge panel, Image pack, Image, People also ask, Related searches, AI overview",informational,Organic
limo service usa,19,19,30,55,2.63,https://www.primelimo.com/,0,0,0.00,0.68,136,"28, 57, 28, 57, 14, 14, 42, 28, 71, 42, 57, 57",2026-05-17,"Local pack, Video, Related searches",commercial,Organic
limo service usa,20,20,30,55,2.63,https://www.primelimo.com/,0,0,0.00,0.68,136,"28, 57, 28, 57, 14, 14, 42, 28, 71, 42, 57, 57",2026-05-17,"Local pack, Video, Related searches",commercial,Organic
limo service waukesha wi,42,42,30,0,3.12,https://www.primelimo.com/,0,0,0.00,0.64,107,"55, 77, 55, 22, 22, 22, 22, 22, 22, 22, 22, 22",2026-05-18,"Local pack, Sitelinks, Related searches",commercial,Organic
little rock limousine,40,40,90,16,0.53,https://www.primelimo.com/,0,0,0.00,0.07,109,"52, 52, 52, 66, 33, 23, 33, 23, 33, 42, 23, 33",2026-05-23,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
little rock limousine,41,41,90,16,0.53,https://www.primelimo.com/,0,0,0.00,0.07,109,"52, 52, 52, 66, 33, 23, 33, 23, 33, 42, 23, 33",2026-05-23,"Knowledge panel, Sitelinks, Related searches",commercial,Organic
primeshuttle,48,48,90,46,1.72,https://www.primelimo.com/,0,0,0.00,0.5,144,"19, 42, 53, 42, 19, 0, 65, 34, 19, 19, 26, 34",2026-04-25,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
luxury hotels in dallas with car services,50,50,40,12,0.00,https://www.primelimo.com/,0,0,0.00,0,158,"100, 0, 0",2026-05-18,"Sitelinks, Video, Hotels Pack, People also ask, Related searches","informational, transactional",Organic
prime car service,13,13,110,47,1.58,https://www.primelimo.com/,0,0,0.00,0.14,118,"42, 42, 66, 80, 80, 52, 42, 42, 52, 52, 42, 52",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
car service dallas fort worth airport,7,7,50,34,5.85,https://www.primelimo.com/,0,0,0.00,0.82,23200000,"28, 35, 35, 35, 28, 28, 78, 100, 50, 21, 14, 28",2026-04-26,"Local pack, People also ask, Related searches, Discussions and forums",commercial,Organic
party bus in dallas,36,36,70,19,1.46,https://www.primelimo.com/,0,0,0.00,0.69,116,"10, 2, 2, 7, 7, 35, 53, 28, 17, 10, 10, 10",2026-05-29,"Local pack, Video, People also ask, Related searches",commercial,Organic
limousine service fort worth,18,18,140,39,2.43,https://www.primelimo.com/,0,0,0.00,0.62,4340000,"29, 14, 4, 18, 18, 100, 54, 18, 18, 18, 18, 22",2026-04-10,"Local pack, Sitelinks, Related searches",commercial,Organic
prime time limo,15,15,40,11,1.57,https://www.primelimo.com/,0,0,0.00,0.3,117,"41, 41, 41, 29, 41, 23, 41, 11, 11, 11, 11, 11",2026-05-16,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
limo services in austin,15,15,70,51,3.00,https://www.primelimo.com/,0,0,0.00,0.61,2160000,"0, 0, 0, 0, 81, 0, 81, 0, 0, 0, 0, 0",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
limousine rental austin,14,14,110,48,2.08,https://www.primelimo.com/,0,0,0.00,0.76,1240000,"34, 28, 34, 43, 100, 34, 43, 28, 43, 28, 28, 34",2026-04-29,"Local pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
prom limos,17,17,70,11,1.86,https://www.primelimo.com/,0,0,0.00,0.25,6190000,"7, 3, 4, 4, 21, 3, 9, 9, 7, 7, 7, 7",2026-05-04,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
limo ford truck,36,36,70,4,0.00,https://www.primelimo.com/,0,0,0.00,0.35,4830000,"35, 50, 78, 78, 100, 50, 50, 50, 50, 64, 35, 50",2026-04-17,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
austin to dallas luxury bus,68,68,40,19,0.75,https://www.primelimo.com/,0,0,0.00,0.23,5470000,"33, 22, 22, 33, 44, 33, 55, 77, 100, 11, 55, 77",2026-04-11,"Sitelinks, Video, Image, Ads bottom, Related searches, AI overview","informational, navigational",Organic
limo mieten,35,35,40,53,0.00,https://www.primelimo.com/,0,0,0.00,0.71,75900,"18, 18, 45, 18, 18, 18, 27, 36, 100, 36, 63, 36",2026-04-17,"Knowledge panel, Video, Image, Related searches, AI overview",informational,Organic
fort worth limo service cheap,10,10,170,18,0.00,https://www.primelimo.com/,0,0,0.00,0.25,124,"1, 1, 36, 100, 1, 1, 1, 1, 2, 1, 1, 1",2026-05-29,"Local pack, Related searches",commercial,Organic
limoservice,18,18,50,53,2.43,https://www.primelimo.com/,0,0,0.00,0.4,2490000,"4, 2, 4, 5, 2, 36, 9, 6, 6, 6, 5, 6",2026-04-12,"Video, Image, Ads bottom, Related searches",commercial,Organic
limoservice,74,74,50,53,2.43,https://www.primelimo.com/,0,0,0.00,0.4,2490000,"4, 2, 4, 5, 2, 36, 9, 6, 6, 6, 5, 6",2026-04-12,"Video, Image, Ads bottom, Related searches",commercial,Organic
limoservice,85,85,50,53,2.43,https://www.primelimo.com/,0,0,0.00,0.4,2490000,"4, 2, 4, 5, 2, 36, 9, 6, 6, 6, 5, 6",2026-04-12,"Video, Image, Ads bottom, Related searches",commercial,Organic
limousine rental austin tx,17,17,110,53,2.08,https://www.primelimo.com/,0,0,0.00,0.76,435000,"65, 34, 53, 100, 80, 53, 53, 19, 26, 19, 26, 11",2026-05-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
limo dealership,92,92,40,31,1.02,https://www.primelimo.com/,0,0,0.00,0.34,150,"45, 45, 81, 100, 18, 18, 18, 18, 18, 18, 18, 18",2026-04-17,"Local pack, Video, Image, Related searches",commercial,Organic
luxury bus austin to dallas,38,38,320,20,0.75,https://www.primelimo.com/,0,0,0.00,0.23,154,"82, 66, 66, 82, 82, 66, 82, 66, 82, 82, 66, 53",2026-05-23,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
admire limo,31,31,30,,1.64,https://www.primelimo.com/,0,0,0.00,0.08,887000,"7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 53",2026-05-01,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
admire limo,46,46,30,,1.64,https://www.primelimo.com/,0,0,0.00,0.08,887000,"7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 53",2026-05-01,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
cabs in dallas tx,59,59,30,27,1.71,https://www.primelimo.com/,0,0,0.00,0.67,110,"7, 50, 35, 0, 7, 14, 7, 35, 7, 35, 7, 14",2026-05-18,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
custom limo,81,81,140,18,1.48,https://www.primelimo.com/,0,0,0.00,0.15,208,"53, 53, 65, 80, 53, 53, 65, 65, 53, 53, 53, 53",2026-05-17,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
limousine service in austin,23,23,110,54,3.00,https://www.primelimo.com/,0,0,0.00,0.61,111,"100, 2, 14, 2, 43, 43, 2, 4, 8, 22, 2, 2",2026-04-26,"Local pack, Video, People also ask, Related searches",commercial,Organic
van limousine service,26,26,50,60,2.38,https://www.primelimo.com/,0,0,0.00,0.69,153,"55, 77, 77, 77, 77, 77, 55, 55, 77, 44, 22, 22",2026-05-29,"Local pack, Video, Related searches",commercial,Organic
limo xe,57,57,70,25,0.00,https://www.primelimo.com/,0,0,0.00,0.05,10400000,"55, 55, 77, 55, 77, 77, 55, 55, 77, 100, 77, 77",2026-04-13,"Image pack, Video, Image, Related searches",informational,Organic
limo fort worth,14,14,50,37,2.56,https://www.primelimo.com/,0,0,0.00,0.73,1970000,"29, 41, 52, 29, 17, 17, 41, 29, 52, 23, 17, 17",2026-04-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
austin limousine services,56,56,40,47,2.77,https://www.primelimo.com/,0,0,0.00,0.3,106,"18, 18, 18, 100, 18, 18, 18, 9, 100, 18, 27, 18",2026-04-10,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
fort worth limos,18,18,170,36,2.56,https://www.primelimo.com/,0,0,0.00,0.73,108,"1, 0, 0, 0, 0, 45, 100, 5, 1, 0, 1, 2",2026-04-08,"Local pack, Image, Related searches",commercial,Organic
limo service grapevine tx,14,14,30,6,1.91,https://www.primelimo.com/,0,0,0.00,0.95,105,"11, 11, 23, 11, 11, 11, 17, 23, 17, 17, 17, 17",2026-05-21,"Knowledge panel, Related searches",informational,Organic
limos in austin tx,51,51,50,50,3.27,https://www.primelimo.com/,0,0,0.00,0.57,105,"22, 77, 33, 55, 100, 77, 100, 77, 33, 44, 44, 44",2026-05-13,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
the limousine,52,52,90,48,0.00,https://www.primelimo.com/,0,0,0.00,0.04,157000000,"50, 50, 78, 28, 50, 78, 50, 28, 78, 78, 78, 78",2026-04-10,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
just limousine,53,53,110,22,1.55,https://www.primelimo.com/,0,0,0.00,0.2,22700000,"52, 64, 23, 100, 82, 82, 41, 41, 64, 64, 64, 52",2026-04-25,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
black car service in dallas,14,14,30,12,3.03,https://www.primelimo.com/,0,0,0.00,0.25,284000000,"28, 28, 57, 57, 57, 28, 100, 100, 42, 28, 28, 28",2026-04-08,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
limo service arlington tx,12,12,70,12,2.23,https://www.primelimo.com/,0,0,0.00,0.55,108,"50, 50, 64, 78, 50, 35, 50, 50, 64, 50, 64, 64",2026-04-26,"Knowledge panel, Video, People also ask, Related searches, AI overview",commercial,Organic
perfect limousine,35,35,50,26,2.23,https://www.primelimo.com/,0,0,0.00,0.28,29900000,"33, 33, 4, 0, 14, 14, 33, 33, 23, 42, 52, 42",2026-04-09,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
short limousine,22,22,140,22,1.68,https://www.primelimo.com/,0,0,0.00,0.09,54700000,"64, 52, 64, 100, 82, 52, 100, 82, 100, 82, 82, 82",2026-05-16,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
austin tx limousine,9,9,70,54,3.27,https://www.primelimo.com/,0,0,0.00,0.57,2100000,"22, 77, 55, 100, 100, 55, 77, 100, 44, 44, 100, 55",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
limo service salem,61,61,40,10,0.94,https://www.primelimo.com/,0,0,0.00,0.52,111,"33, 52, 23, 23, 23, 9, 9, 9, 9, 9, 9, 9",2026-05-28,"Local pack, Sitelinks, Related searches",commercial,Organic
shuttle from austin to dallas,43,43,30,22,0.75,https://www.primelimo.com/,0,0,0.00,0.63,130,"11, 11, 11, 17, 11, 11, 11, 11, 11, 23, 23, 29",2026-05-17,"Video, People also ask, Related searches, AI overview",informational,Organic
minivan limo,79,79,90,11,1.73,https://www.primelimo.com/,0,0,0.00,0.8,2240000,"63, 63, 81, 81, 81, 63, 100, 81, 81, 100, 81, 81",2026-04-23,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
affordable limos,75,75,40,37,1.43,https://www.primelimo.com/,0,0,0.00,0.08,2900000,"0, 7, 14, 0, 7, 7, 64, 100, 64, 28, 21, 7",2026-05-09,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",navigational,Organic
limo short,17,17,110,35,1.68,https://www.primelimo.com/,0,0,0.00,0.09,155,"42, 33, 19, 100, 100, 42, 33, 33, 66, 9, 100, 66",2026-05-17,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
online limo booking,95,95,50,60,2.39,https://www.primelimo.com/,0,0,0.00,0.84,4540000,"52, 23, 41, 23, 64, 17, 29, 11, 11, 11, 23, 41",2026-04-11,"Video, Image, Related searches",commercial,Organic
limo service to dfw airport,14,14,40,50,3.02,https://www.primelimo.com/,0,0,0.00,0.42,211000,"17, 11, 5, 23, 5, 29, 41, 29, 11, 11, 52, 17",2026-04-09,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
limousine for rental,17,0,50,49,1.40,https://www.primelimo.com/,0,0,0.00,0.56,153,"2, 2, 5, 23, 29, 12, 1, 2, 1, 2, 1, 1",2026-05-30,"Local pack, Video, People also ask, Related searches",commercial,Organic
limo rental fort worth texas,19,19,70,35,1.86,https://www.primelimo.com/,0,0,0.00,0.64,124,"28, 34, 21, 6, 21, 43, 15, 28, 15, 28, 15, 9",2026-05-15,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
limousines for hire,52,52,50,43,2.19,https://www.primelimo.com/,0,0,0.00,0.28,153,"27, 36, 63, 100, 63, 63, 27, 18, 36, 27, 63, 27",2026-04-10,"Local pack, Video, Image, Related searches",commercial,Organic
limousine rental waukesha,93,93,50,12,0.00,https://www.primelimo.com/,0,0,0.00,0,120000,"18, 18, 27, 18, 18, 9, 63, 63, 100, 63, 100, 63",2026-04-17,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
dallas black car service rates,70,70,50,0,0.00,https://www.primelimo.com/,0,0,0.00,0,145000000,100,2026-04-20,"Image, People also ask, Related searches, AI overview","commercial, informational",Organic
limos.com,45,45,70,31,2.16,https://www.primelimo.com/,0,0,0.00,0.06,12200000,"33, 33, 33, 14, 14, 14, 33, 52, 23, 19, 42, 23",2026-05-12,"Sitelinks, Video, Image, People also ask",navigational,Organic
mobile car service dallas,92,92,30,17,2.49,https://www.primelimo.com/,0,0,0.00,0.1,222000000,"100, 57, 42, 42, 42, 57, 100, 57, 0, 14, 0, 0",2026-04-20,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
limos com,35,35,110,31,2.16,https://www.primelimo.com/,0,0,0.00,0.06,7520000,"21, 28, 28, 28, 34, 21, 53, 34, 28, 21, 21, 100",2026-05-11,"Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
professional limousine services,48,48,70,62,1.69,https://www.primelimo.com/,0,0,0.00,0.11,10700000,"9, 23, 23, 33, 23, 9, 52, 52, 52, 33, 23, 23",2026-04-09,"Local pack, Video, Image, Related searches",commercial,Organic
fort worth limo services,16,16,170,45,2.43,https://www.primelimo.com/,0,0,0.00,0.62,1760000,"0, 0, 0, 0, 1, 45, 100, 3, 1, 0, 0, 1",2026-04-08,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
limo business,26,26,170,14,2.38,https://www.primelimo.com/,0,0,0.00,0.21,110,"53, 53, 65, 65, 53, 43, 43, 43, 65, 65, 43, 43",2026-05-25,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
limo business,28,28,170,14,2.38,https://www.primelimo.com/,0,0,0.00,0.21,110,"53, 53, 65, 65, 53, 43, 43, 43, 65, 65, 43, 43",2026-05-25,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
limousine companies,23,23,480,73,2.55,https://www.primelimo.com/,0,0,0.00,0.34,16900000,"24, 5, 81, 4, 45, 4, 10, 45, 36, 62, 36, 30",2026-04-11,"Local pack, Video, Image, Related searches",commercial,Organic
